,Firstname,Surname,Born,Died,Born country,Gender,Year,Category,Motivation
628,Gerald M.,Edelman,1929-07-01,2014-05-17,USA,male,1972,Medicine,"""for their discoveries concerning the chemical structure of antibodies"""
629,Karl,von Frisch,1886-11-20,1982-06-12,Austria,male,1973,Medicine,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns"""
630,Erwin,Neher,1944-03-20,,Germany,male,1991,Medicine,"""for their discoveries concerning the function of single ion channels in cells"""
631,Irwin,Rose,1926-07-16,2015-06-03,USA,male,2004,Chemistry,"""for the discovery of ubiquitin-mediated protein degradation"""
632,J. Robin,Warren,1937-06-11,,Australia,male,2005,Medicine,"""for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease"""
633,Mario R.,Capecchi,1937-10-06,,Italy,male,2007,Medicine,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells"""
634,Frederick,Reines,1918-03-16,1998-08-26,USA,male,1995,Physics,"""for the detection of the neutrino"""
635,Robert C.,Richardson,1937-06-26,2013-02-19,USA,male,1996,Physics,"""for their discovery of superfluidity in helium-3"""
637,Nathan,Söderblom,1866-01-15,1931-07-12,Sweden,male,1930,Peace,"""for promoting Christian unity and helping create 'that new attitude of mind which is necessary if peace between nations is to become reality'"""
638,Lhamo,Thondup,1935-07-06,,China,male,1989,Peace,"""for advocating peaceful solutions based upon tolerance and mutual respect in order to preserve the historical and cultural heritage of his people"""
639,Rigoberta,Menchú Tum,1959-01-09,,Guatemala,female,1992,Peace,"""for her struggle for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples"""
640,Theodor,Mommsen,1817-11-30,1903-11-01,Germany,male,1902,Literature,"""the greatest living master of the art of historical writing with special reference to his monumental work <I>A history of Rome</I>"""
641,Carl,Spitteler,1845-04-24,1924-12-29,Switzerland,male,1919,Literature,"""in special appreciation of his epic <I>Olympian Spring</I>"""
642,Alexandr,Solzhenitsyn,1918-12-11,2008-08-03,Russia,male,1970,Literature,"""for the ethical force with which he has pursued the indispensable traditions of Russian literature"""
643,Eyvind,Johnson,1900-07-29,1976-08-25,Sweden,male,1974,Literature,"""for a narrative art far-seeing in lands and ages in the service of freedom"""
644,Luis,Leloir,1906-09-06,1987-12-02,France,male,1970,Chemistry,"""for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates"""
645,Robert F.,Curl Jr.,1933-08-23,2022-07-03,USA,male,1996,Chemistry,"""for their discovery of fullerenes"""
646,William P.,Murphy,1892-02-06,1987-10-09,USA,male,1934,Medicine,"""for their discoveries concerning liver therapy in cases of anaemia"""
