,Firstname,Surname,Born,Died,Born country,Gender,Year,Category,Motivation
951,Walther,Bothe,1891-01-08,1957-02-08,Germany,male,1954,Physics,"""for the coincidence method and his discoveries made therewith"""
952,Martin,Ryle,1918-09-27,1984-10-14,United Kingdom,male,1974,Physics,"""for their pioneering research in radio astrophysics: Ryle for his observations and inventions in particular of the aperture synthesis technique and Hewish for his decisive role in the discovery of pulsars"""
953,George C.,Marshall,1880-12-31,1959-10-16,USA,male,1953,Peace,"""for proposing and supervising the plan for the economic recovery of Europe"""
954,Eisaku,Sato,1901-03-27,1975-06-03,Japan,male,1974,Peace,"""for his contribution to stabilize conditions in the Pacific rim area and for signing the Nuclear Non-Proliferation Treaty"""
955,Menachem,Begin,1913-08-16,1992-03-09,Belarus,male,1978,Peace,"""for jointly having negotiated peace between Egypt and Israel in 1978"""
956,Ivo,Andric,1892-10-10,1975-03-13,Bosnia and Herzegovina,male,1961,Literature,"""for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country"""
957,Ragnar,Frisch,1895-03-03,1973-01-31,Norway,male,1969,Economics,"""for having developed and applied dynamic models for the analysis of economic processes"""
958,Leonid Vitaliyevich,Kantorovich,1912-01-19,1986-04-07,Russia,male,1975,Economics,"""for their contributions to the theory of optimum allocation of resources"""
959,Tjalling C.,Koopmans,1910-08-28,1985-02-26,the Netherlands,male,1975,Economics,"""for their contributions to the theory of optimum allocation of resources"""
960,Reinhard,Selten,1930-10-05,2016-08-23,Poland,male,1994,Economics,"""for their pioneering analysis of equilibria in the theory of non-cooperative games"""
961,Xingjian,Gao,1940-01-04,,China,male,2000,Literature,"""for an œuvre of universal validity bitter insights and linguistic ingenuity which has opened new paths for the Chinese novel and drama"""
962,Val,Fitch,1923-03-10,2015-02-05,USA,male,1980,Physics,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons"""
963,Kenneth G.,Wilson,1936-06-08,2013-06-15,USA,male,1982,Physics,"""for his theory for critical phenomena in connection with phase transitions"""
964,Douglas D.,Osheroff,1945-08-01,,USA,male,1996,Physics,"""for their discovery of superfluidity in helium-3"""
965,Heinrich,Wieland,1877-06-04,1957-08-05,Germany,male,1927,Chemistry,"""for his investigations of the constitution of the bile acids and related substances"""
966,Paul D.,Boyer,1918-07-31,2018-06-02,USA,male,1997,Chemistry,"""for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)"""
967,Emil,von Behring,1854-03-15,1917-03-31,Poland,male,1901,Medicine,"""for his work on serum therapy especially its application against diphtheria by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths"""
968,Sir Frederick,Hopkins,1861-06-20,1947-05-16,United Kingdom,male,1929,Medicine,"""for his discovery of the growth-stimulating vitamins"""
969,Hermann J.,Muller,1890-12-21,1967-04-05,USA,male,1946,Medicine,"""for the discovery of the production of mutations by means of X-ray irradiation"""
970,Walter,Hess,1881-03-17,1973-08-12,Switzerland,male,1949,Medicine,"""for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs"""
971,Severo,Ochoa,1905-09-24,1993-11-01,Spain,male,1959,Medicine,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid"""
972,Feodor,Lynen,1911-04-06,1979-08-06,Germany,male,1964,Medicine,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism"""
973,David,Baltimore,1938-03-07,,USA,male,1975,Medicine,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell"""
974,Emmanuelle,Charpentier,1968-12-11,,France,female,2020,Chemistry,"""for the development of a method for genome editing"""
